Stanum,Lat,Lon,Rain,Mean,Var
57445,3036,10943,-1.24,5.68,189.55
57447,3017,10928,-0.54,6.58,360.26
57458,3009,11104,1.84,12.53,721.7
57461,3044,11122,-0.37,7.73,171.34
57476,3021,11209,1.93,8.84,416.33
57482,3054,11357,-0.19,5.56,248.24
57483,3040,11308,0.3,5.92,296.8
57494,3036,11403,-0.46,5.27,243.91
57502,2943,10542,0.07,2.54,77.68
57503,2937,10507,-0.34,0.0,0.0
57512,2958,10616,-1.21,4.23,201.98
57516,2935,10628,0.02,6.25,288.05
57517,2917,10615,-1.36,3.95,124.33
57520,2950,10704,-0.7,3.05,98.49
57523,2954,10746,-0.92,4.11,130.43
57536,2931,10846,-0.66,3.51,82.61
57545,2932,10925,-1.17,5.18,175.24
57554,2924,11010,-0.88,4.48,65.35
57562,2935,11122,2.96,13.12,1101.09
57573,2953,11254,-0.74,2.89,73.72
57574,2921,11226,-1.19,3.8,138.74
57581,2949,11327,-1.2,3.6,170.29
57583,2955,11358,0.02,5.9,274.3
57584,2923,11305,-0.86,2.87,145.16
57598,2902,11435,-0.28,2.35,29.65
57606,2808,10650,0.04,6.45,135.53
57608,2810,10526,-0.37,6.85,236.7
57612,2900,10639,-0.86,3.5,120.24
57625,2832,10727,0.13,5.93,365.75
57633,2849,10846,-0.26,3.16,31.23
57642,2841,10939,-1.32,5.06,138.48
57647,2810,10912,-0.96,3.74,158.16
57649,2814,10941,-0.58,3.05,110.91
57655,2828,11024,-1.16,3.6,164.79
57662,2907,11141,0.36,7.06,213.56
57669,2823,11113,-1.15,4.78,182.92
57671,2851,11222,-0.22,2.45,74.99
57673,2844,11256,-0.31,2.48,57.34
57679,2813,11312,-0.43,2.19,26.75
57682,2843,11334,-1.32,4.09,144.08
57687,2807,11247,-1.05,3.44,132.37
57696,2823,11446,-0.86,4.99,292.19
57707,2718,10517,-0.47,3.64,142.71
57710,2748,10624,-1.14,4.16,84.05
57718,2706,10643,-0.95,3.35,36.26
57722,2747,10730,-1.52,3.91,332.18
