Stanum,Lat,Lon,Rain,Mean,Var
57545,2932,10925,116.21,15.29,704.47
57554,2924,11010,164.76,19.17,727.29
57562,2935,11122,188.65,19.2,1712.72
57573,2953,11254,163.58,12.84,506.76
57574,2921,11226,116.4,9.73,210.44
57581,2949,11327,121.3,12.08,309.92
57583,2955,11358,134.08,13.22,446.22
57584,2923,11305,130.33,10.8,422.45
57598,2902,11435,43.42,8.29,397.28
57606,2808,10650,66.74,8.05,196.91
57608,2810,10526,-42.11,3.11,41.45
57612,2900,10639,-14.84,4.11,71.43
57625,2832,10727,19.9,5.79,121.77
57633,2849,10846,168.14,15.71,684.57
57642,2841,10939,90.14,11.45,226.58
57647,2810,10912,134.06,13.77,500.08
57649,2814,10941,174.45,18.0,668.68
57655,2828,11024,79.52,10.91,427.62
57662,2907,11141,62.6,8.43,163.83
57669,2823,11113,62.58,10.04,330.46
57671,2851,11222,103.77,9.22,323.17
57673,2844,11256,-6.83,4.42,167.33
57679,2813,11312,-65.8,1.45,18.76
57682,2843,11334,35.8,7.2,371.05
57687,2807,11247,-33.5,2.65,53.05
57696,2823,11446,-71.17,1.53,13.26
57707,2718,10517,61.01,8.48,174.79
57710,2748,10624,70.43,8.24,274.68
57718,2706,10643,210.63,16.81,1008.83
57722,2747,10730,133.04,11.95,781.0
57729,2714,10753,118.39,10.2,151.95
57731,2756,10815,136.69,11.88,1038.72
57741,2744,10911,84.41,10.42,288.87
57745,2727,10941,93.79,9.27,289.23
57752,2755,11036,9.82,5.67,165.75
57761,2745,11118,-12.81,4.55,135.03
57774,2727,11210,-73.36,0.99,12.52
57776,2718,11242,36.38,7.65,511.56
57779,2703,11321,-61.91,1.48,14.58
57780,2752,11310,-19.62,3.31,77.18
57789,2708,11357,-41.65,2.48,61.0
57793,2747,11422,-68.12,1.63,17.39
57799,2703,11455,-82.5,0.77,5.69
57803,2701,10601,65.32,8.27,167.35
57805,2641,10546,88.22,14.95,753.47
57806,2615,10554,204.02,22.46,1651.05
57816,2635,10644,220.79,18.43,855.73
57825,2636,10759,78.12,9.94,536.2
57827,2619,10731,65.38,11.96,571.0
57832,2658,10840,170.26,11.72,783.29
57839,2614,10908,-4.38,4.53,83.17
57840,2654,10912,95.85,9.71,457.74
57845,2610,10947,-14.58,4.65,76.05
57866,2614,11137,-59.03,1.54,11.51
57872,2653,11236,-45.63,1.83,52.03
57874,2625,11224,-64.55,1.31,15.24
57889,2605,11357,-20.32,4.25,166.44
57894,2635,11410,4.75,7.65,500.81
57896,2620,11431,-76.82,0.96,11.02
57902,2526,10511,95.37,14.75,813.69
57906,2511,10605,-8.4,6.26,132.16
57907,2505,10454,55.64,14.61,405.51
57910,2546,10605,62.11,11.84,349.65
57912,2609,10639,96.61,13.26,529.14
57916,2526,10646,-26.11,4.55,95.21
57922,2550,10733,-29.79,4.83,66.51
57926,2525,10753,-48.28,3.51,38.77
57932,2556,10831,-13.84,4.51,54.43
57947,2514,10924,-15.11,7.08,323.59
57957,2519,11018,1.92,7.66,385.93
57965,2532,11136,-39.58,2.5,49.84
57972,2544,11258,-54.12,1.64,18.92
57974,2535,11222,-80.87,0.71,2.63
57993,2552,11501,-81.33,0.69,2.05
57996,2505,11415,-45.23,2.33,32.57
58005,3426,11532,22.8,6.78,332.09
58015,3427,11620,-59.76,2.55,36.17
58026,3424,11801,-43.59,4.59,119.09
58027,3417,11710,-38.67,4.93,296.18
58038,3405,11847,-26.12,5.73,165.44
58040,3451,11908,-28.09,5.95,397.35
58047,3415,11914,-24.9,5.8,130.87
58102,3347,11544,-74.55,1.77,34.08
58111,3351,11625,-18.78,5.73,320.33
58118,3316,11631,-16.19,6.44,266.94
58122,3338,11705,-44.18,4.32,67.69
58130,3356,11757,-34.43,5.28,115.49
58135,3329,11813,58.04,12.19,579.75
58138,3257,11830,105.87,16.25,1807.26
58141,3338,11856,-100.0,0.0,0.0
58143,3348,11951,98.98,14.99,1069.42
58150,3345,12018,86.96,14.46,826.73
58158,3310,12027,174.2,21.47,1582.22
58203,3252,11544,23.6,8.19,895.4
58208,3210,11537,22.65,8.94,443.88
58215,3226,11647,67.08,10.6,1033.99
58221,3251,11718,53.49,10.57,995.48
58225,3232,11740,128.69,14.25,1507.84
58236,3221,11815,136.57,17.08,1097.65
58238,3156,11854,156.97,17.2,1029.82
58241,3245,11929,196.76,22.21,1773.84
58251,3251,12017,219.46,23.24,1364.33
58255,3223,12037,55.45,10.27,259.94
58259,3205,12059,119.11,13.11,740.69
58265,3206,12133,55.88,8.49,376.66
58311,3144,11630,159.7,17.06,1404.3
58314,3124,11619,261.23,24.33,2748.62
58319,3104,11657,179.73,20.73,1234.06
58321,3157,11703,145.79,14.45,673.06
58326,3135,11750,236.29,20.71,1766.43
58336,3142,11834,238.88,20.71,1833.39
58338,3107,11836,160.5,12.71,652.29
58345,3126,11930,164.96,15.35,848.15
58354,3137,12021,201.5,16.47,1324.84
58356,3124,12100,127.81,10.6,914.95
58358,3105,12026,70.0,7.91,234.9
58362,3123,12127,98.21,9.07,842.3
58402,3044,11540,224.95,24.93,1494.73
58429,3059,11751,119.17,13.6,601.79
58436,3037,11859,37.64,8.45,877.38
58437,3008,11809,153.75,28.46,5184.31
58448,3013,11942,54.19,8.64,449.09
58450,3052,12003,18.41,5.76,162.98
58457,3014,12010,25.44,6.2,273.55
58464,3039,12107,49.1,6.51,220.88
