Stanum,Lat,Lon,Rain,Mean,Var
57573,2953,11254,4.83,7.67,289.26
57574,2921,11226,3.3,9.35,299.1
57581,2949,11327,3.57,9.2,304.69
57583,2955,11358,4.26,8.1,248.71
57584,2923,11305,2.66,9.92,336.58
57598,2902,11435,0.81,14.1,757.15
57606,2808,10650,8.35,5.26,205.61
57608,2810,10526,10.41,3.39,34.64
57612,2900,10639,13.31,2.47,40.27
57625,2832,10727,6.61,6.31,366.98
57633,2849,10846,12.42,2.54,34.68
57642,2841,10939,3.94,8.19,135.54
57647,2810,10912,2.88,9.69,276.91
57649,2814,10941,3.33,9.59,235.51
57655,2828,11024,1.42,11.91,549.01
57662,2907,11141,2.68,10.32,398.54
57669,2823,11113,1.6,13.81,704.6
57671,2851,11222,3.17,9.64,462.09
57673,2844,11256,4.91,7.64,252.24
57679,2813,11312,3.74,8.4,275.35
57682,2843,11334,2.64,10.19,392.51
57687,2807,11247,4.52,7.32,284.98
57696,2823,11446,3.92,8.63,345.71
57707,2718,10517,10.01,3.86,45.87
57710,2748,10624,5.5,7.13,187.2
57718,2706,10643,8.58,4.85,98.85
57722,2747,10730,9.36,4.63,68.47
57729,2714,10753,3.4,8.6,406.08
57731,2756,10815,9.36,4.58,91.96
57741,2744,10911,2.41,11.19,287.25
57745,2727,10941,1.13,12.55,613.66
57752,2755,11036,1.33,11.38,405.46
57761,2745,11118,2.62,10.57,357.67
57774,2727,11210,3.93,8.24,214.03
57776,2718,11242,3.94,8.87,163.62
57779,2703,11321,14.66,2.37,19.99
57780,2752,11310,6.12,6.8,182.4
57789,2708,11357,11.41,3.26,31.49
57793,2747,11422,9.05,4.72,84.13
57799,2703,11455,9.86,4.49,117.79
57803,2701,10601,3.57,8.74,349.08
57805,2641,10546,3.95,9.07,212.76
57806,2615,10554,2.65,11.21,370.57
57816,2635,10644,3.83,8.33,274.52
57825,2636,10759,4.46,7.85,207.96
57827,2619,10731,2.79,10.69,329.06
57832,2658,10840,6.27,6.63,114.01
57839,2614,10908,1.95,10.49,281.08
57840,2654,10912,3.03,9.29,179.29
57845,2610,10947,0.63,15.37,543.4
57866,2614,11137,7.13,5.87,105.72
57872,2653,11236,8.47,5.23,103.37
57874,2625,11224,6.96,5.64,127.88
57889,2605,11357,6.45,5.41,91.17
57894,2635,11410,4.73,7.75,179.76
57896,2620,11431,8.3,4.69,65.93
57902,2526,10511,2.05,13.5,416.5
57906,2511,10605,4.14,8.65,155.71
57907,2505,10454,5.8,6.46,89.96
57910,2546,10605,3.25,9.77,358.83
57912,2609,10639,3.27,8.77,346.83
57916,2526,10646,4.65,7.8,118.21
57922,2550,10733,2.63,10.3,268.26
57926,2525,10753,2.2,12.65,358.51
57932,2556,10831,1.39,12.85,438.02
57947,2514,10924,0.24,25.14,2299.26
57957,2519,11018,2.88,10.45,193.35
57965,2532,11136,13.04,2.66,21.63
57972,2544,11258,6.9,5.48,174.39
57974,2535,11222,8.15,4.75,54.94
57993,2552,11501,6.58,6.0,178.99
57996,2505,11415,9.98,4.18,76.57
58005,3426,11532,9.01,0.73,5.75
58015,3427,11620,14.11,0.79,5.55
58026,3424,11801,10.8,3.12,86.05
58027,3417,11710,12.72,2.08,55.45
58038,3405,11847,10.16,3.05,110.77
58040,3451,11908,9.13,3.35,122.93
58047,3415,11914,8.61,4.37,216.28
58102,3347,11544,12.65,0.73,3.69
58111,3351,11625,13.62,2.1,34.52
58118,3316,11631,15.6,1.33,11.64
58122,3338,11705,14.92,1.61,27.71
58130,3356,11757,12.81,1.68,22.45
58135,3329,11813,12.21,2.61,138.1
58138,3257,11830,11.23,2.68,139.99
58141,3338,11856,0.0,0.0,0.0
58143,3348,11951,8.62,4.15,391.75
58150,3345,12018,7.73,4.94,317.53
58158,3310,12027,12.6,1.21,24.15
58203,3252,11544,13.38,2.79,67.3
58208,3210,11537,9.58,4.72,130.36
58215,3226,11647,12.81,3.15,103.64
58221,3251,11718,12.89,1.48,34.59
58225,3232,11740,12.88,2.53,73.48
58236,3221,11815,12.02,2.71,150.33
58238,3156,11854,14.57,1.14,21.77
58241,3245,11929,13.26,1.52,28.02
58251,3251,12017,13.95,1.1,12.63
58255,3223,12037,13.84,1.4,21.02
58259,3205,12059,13.13,1.06,6.96
58265,3206,12133,12.91,1.77,33.19
58311,3144,11630,7.77,5.35,201.89
58314,3124,11619,5.5,6.94,329.73
58319,3104,11657,4.92,7.94,313.7
58321,3157,11703,12.49,3.27,126.73
58326,3135,11750,11.0,3.56,126.5
58336,3142,11834,13.39,1.42,38.49
58338,3107,11836,9.21,5.08,245.66
58345,3126,11930,14.62,1.74,38.58
58354,3137,12021,13.48,1.54,11.75
58356,3124,12100,13.47,1.73,38.97
58358,3105,12026,6.61,6.24,190.92
58362,3123,12127,11.24,2.5,95.25
58402,3044,11540,3.75,9.72,305.93
58429,3059,11751,6.7,6.67,255.34
58436,3037,11859,7.41,5.5,241.47
58437,3008,11809,2.44,13.44,618.51
58448,3013,11942,3.98,9.1,635.7
58450,3052,12003,8.32,4.93,192.03
58457,3014,12010,4.77,8.3,551.0
58464,3039,12107,7.32,5.52,153.49
58467,3012,12118,10.54,3.34,62.78
58472,3044,12227,16.73,1.87,21.4
58477,3002,12206,7.85,4.95,91.49
