Stanum,Lat,Lon,Rain,Mean,Var
58215,3226,11647,1.02,3.05,29.73
58221,3251,11718,-0.48,7.84,292.82
58225,3232,11740,1.02,3.06,64.87
58236,3221,11815,0.52,4.34,62.91
58238,3156,11854,0.99,2.83,49.26
58241,3245,11929,0.31,5.18,120.42
58251,3251,12017,0.88,3.77,41.52
58255,3223,12037,1.46,1.48,11.02
58259,3205,12059,0.98,2.83,34.52
58265,3206,12133,0.42,4.18,58.0
58311,3144,11630,0.03,5.58,93.15
58314,3124,11619,-0.74,8.58,173.51
58319,3104,11657,0.43,4.48,102.86
58321,3157,11703,1.31,1.73,12.37
58326,3135,11750,0.75,3.18,37.4
58336,3142,11834,0.59,3.22,43.84
58338,3107,11836,1.13,2.74,36.35
58345,3126,11930,0.76,3.07,45.77
58354,3137,12021,0.91,3.13,44.74
58356,3124,12100,0.7,3.07,60.43
58358,3105,12026,-0.71,6.06,207.18
58362,3123,12127,-0.62,5.76,297.81
58402,3044,11540,-0.45,8.17,235.41
58429,3059,11751,0.75,3.35,52.7
58436,3037,11859,0.2,5.14,121.35
58437,3008,11809,-0.65,13.59,674.81
58448,3013,11942,-0.84,9.73,320.74
58450,3052,12003,-0.52,5.75,143.43
58457,3014,12010,-2.43,13.95,836.64
58464,3039,12107,-1.79,10.01,520.95
58467,3012,12118,-2.33,12.75,518.88
58472,3044,12227,-2.22,12.8,1181.07
58477,3002,12206,-1.22,7.26,253.75
58500,2954,11513,-0.8,7.63,234.83
58506,2934,11559,-0.64,9.76,325.9
58507,2915,11507,0.24,3.98,79.83
58519,2900,11640,-1.37,9.49,350.39
58520,2952,11742,-0.92,10.24,484.54
58527,2918,11712,-1.16,11.74,584.39
58531,2943,11817,-1.4,12.56,553.12
58543,2937,11901,-1.93,10.72,754.23
58549,2907,11939,-2.07,11.43,599.73
58553,3003,12049,-1.49,13.95,889.99
58556,2936,12049,-2.45,11.81,556.69
58557,2920,12005,-2.53,13.83,636.94
58562,2948,12130,-2.03,12.37,476.89
58569,2912,12157,-0.41,3.94,65.07
58600,2851,11522,-0.71,7.42,248.45
58606,2835,11554,-0.74,6.53,146.1
58608,2759,11533,-1.54,9.0,438.21
58622,2857,11735,-1.85,16.66,1253.66
58626,2819,11714,-1.56,10.23,391.01
58634,2841,11815,-1.87,13.12,648.39
58637,2827,11759,-1.49,9.71,323.94
58646,2828,11956,-2.0,8.92,222.36
58652,2852,12043,-0.84,6.72,175.34
58665,2837,12125,0.08,3.71,49.38
58666,2827,12154,-0.58,3.34,54.91
58667,2805,12116,-0.52,4.29,171.25
58705,2720,11525,-1.86,9.82,804.78
58715,2735,11639,-1.82,11.24,558.07
58718,2713,11632,-2.16,18.48,1676.71
58725,2720,11728,-1.84,12.31,284.73
58730,2746,11802,-1.95,15.81,538.42
58731,2755,11832,-1.68,10.76,289.48
58734,2720,11807,-2.49,11.49,260.17
58737,2703,11819,-2.24,8.89,143.1
58742,2806,11934,-1.74,9.69,445.78
58744,2727,11930,-2.13,16.9,254.08
58752,2747,12039,-0.65,5.58,245.7
58754,2720,12012,0.0,4.64,246.26
58806,2629,11601,-2.58,17.68,553.31
58813,2650,11618,-2.46,12.31,591.5
58818,2614,11638,-1.72,8.53,131.45
